char_a,char_b,common_neighbors,ever_meet,first_meet_book
Filius Flitwick,Vincent Crabbe,15,False,
Marcus Flint,Rowena Ravenclaw,15,False,
Petunia Dursley,Rubeus Hagrid,15,False,
Arthur Weasley,Hermione Granger,15,True,4.0
Argus Filch,Cornelius Fudge,15,False,
Cornelius Fudge,Percy Weasley,15,True,4.0
Lucius Malfoy,Percy Weasley,15,True,7.0
Colin Creevey,Neville Longbottom,15,True,5.0
Dean Thomas,Oliver Wood,15,False,
Oliver Wood,Sybill Trelawney,15,False,
Filius Flitwick,Gregory Goyle,15,False,
Minerva McGonagall,Rolanda Hooch,15,True,5.0
Draco Malfoy,Vernon Dursley,15,False,
Cornelius Fudge,Godric Gryffindor,15,False,
Lucius Malfoy,Tom Riddle,15,True,4.0
Argus Filch,Marcus Flint,15,False,
Rowena Ravenclaw,Severus Snape,15,True,4.0
Seamus Finnigan,Tom Riddle,15,True,5.0
Seamus Finnigan,Vincent Crabbe,15,False,
Ginevra Weasley,Sirius Black,15,True,4.0
Buckbeak,Neville Longbottom,15,False,
Gregory Goyle,Seamus Finnigan,15,False,
Rowena Ravenclaw,Rubeus Hagrid,15,True,5.0
Buckbeak,Godric Gryffindor,15,False,
Albus Dumbledore,Lee Jordan,15,True,4.0
Salazar Slytherin,Sybill Trelawney,15,False,
Tom Riddle,Vincent Crabbe,15,True,5.0
Ginevra Weasley,Oliver Wood,15,False,
Albus Dumbledore,Peeves,15,False,
Peeves,Severus Snape,14,True,4.0
Ginevra Weasley,Gregory Goyle,14,False,
Gilderoy Lockhart,Peter Pettigrew,14,False,
Severus Snape,Vernon Dursley,14,False,
Molly Weasley,Severus Snape,14,True,5.0
Buckbeak,Severus Snape,14,True,6.0
Seamus Finnigan,Sybill Trelawney,14,False,
Alicia Spinnet,Draco Malfoy,14,True,5.0
Fred Weasley,Peter Pettigrew,14,False,
Argus Filch,Lucius Malfoy,14,False,
Fred Weasley,Justin Finch-Fletchley,14,False,
Dean Thomas,Fred Weasley,14,True,5.0
Buckbeak,Minerva McGonagall,14,False,
Rowena Ravenclaw,Tom Riddle,14,True,6.0
Argus Filch,Peter Pettigrew,14,False,
Minerva McGonagall,Mrs Norris,14,True,5.0
Draco Malfoy,Justin Finch-Fletchley,14,True,5.0
Ginevra Weasley,Vincent Crabbe,14,True,5.0
Gilderoy Lockhart,Vernon Dursley,14,False,
Percy Weasley,Sybill Trelawney,14,False,
Father Christmas,Lucius Malfoy,14,False,
Albus Dumbledore,Charles Weasley,14,True,4.0
Cornelius Fudge,Salazar Slytherin,14,False,
Godric Gryffindor,Peeves,14,True,6.0
Marcus Flint,Remus Lupin,13,False,
Fat Lady,Rubeus Hagrid,13,True,5.0
Filius Flitwick,Quirinus Quirrell,13,False,
Peter Pettigrew,Poppy Pomfrey,13,False,
Fat Lady,Remus Lupin,13,False,
Parvati Patil,Sirius Black,13,False,
Dean Thomas,Filius Flitwick,13,False,
Colin Creevey,Gregory Goyle,13,False,
Dean Thomas,George Weasley,13,True,5.0
Marcus Flint,Sirius Black,13,False,
Parvati Patil,Rubeus Hagrid,13,True,4.0
Peter Pettigrew,Salazar Slytherin,13,False,
Lee Jordan,Rubeus Hagrid,13,False,
Arthur Weasley,Rubeus Hagrid,13,True,6.0
Peeves,Salazar Slytherin,13,False,
Colin Creevey,Tom Riddle,13,True,7.0
Gregory Goyle,Sybill Trelawney,13,False,
Lucius Malfoy,Sirius Black,13,True,5.0
Angelina Johnson,Lee Jordan,13,True,5.0
Lucius Malfoy,Poppy Pomfrey,13,False,
Petunia Dursley,Severus Snape,13,True,7.0
Gilderoy Lockhart,Rowena Ravenclaw,13,False,
Justin Finch-Fletchley,Percy Weasley,13,False,
Lucius Malfoy,Oliver Wood,13,False,
Mrs Norris,Percy Weasley,13,False,
Justin Finch-Fletchley,Sirius Black,13,False,
Justin Finch-Fletchley,Oliver Wood,13,False,
Gilderoy Lockhart,Quirinus Quirrell,13,False,
Fred Weasley,Seamus Finnigan,13,False,
Father Christmas,Seamus Finnigan,13,False,
Oliver Wood,Poppy Pomfrey,13,False,
Father Christmas,Peter Pettigrew,13,False,
Argus Filch,Dean Thomas,13,False,
Charles Weasley,Severus Snape,13,False,
Sybill Trelawney,Vincent Crabbe,13,False,
Quirinus Quirrell,Remus Lupin,13,False,
George Weasley,Peter Pettigrew,13,False,
Quirinus Quirrell,Salazar Slytherin,13,False,
Quirinus Quirrell,Sirius Black,13,False,
Fang,Severus Snape,13,True,6.0
Godric Gryffindor,Mrs Norris,13,True,6.0
Gilderoy Lockhart,Lee Jordan,13,False,
Rolanda Hooch,Rubeus Hagrid,13,False,
Argus Filch,Buckbeak,13,False,
Father Christmas,Rolanda Hooch,13,False,
Fred Weasley,Mrs Norris,13,True,5.0
Sirius Black,Vernon Dursley,13,True,4.0
James Potter I,Ronald Weasley,13,True,6.0
Hermione Granger,Petunia Dursley,13,True,5.0
Dean Thomas,Percy Weasley,13,False,
Molly Weasley,Poppy Pomfrey,12,True,4.0
Dobby,Minerva McGonagall,12,True,4.0
Parvati Patil,Salazar Slytherin,12,False,
Argus Filch,Sybill Trelawney,12,False,
Ginevra Weasley,Marcus Flint,12,False,
Filius Flitwick,Parvati Patil,12,False,
Mrs Norris,Vincent Crabbe,12,False,
Filius Flitwick,Peeves,12,False,
Salazar Slytherin,Vernon Dursley,12,False,
Oliver Wood,Peter Pettigrew,12,False,
Percy Weasley,Rolanda Hooch,12,False,
Argus Filch,Rowena Ravenclaw,12,False,
Father Christmas,Lee Jordan,12,False,
Father Christmas,Ginevra Weasley,12,True,6.0
Dobby,Percy Weasley,12,True,4.0
Dobby,Gilderoy Lockhart,12,False,
Gregory Goyle,Parvati Patil,12,False,
Marcus Flint,Tom Riddle,12,False,
Molly Weasley,Vernon Dursley,12,True,4.0
Filius Flitwick,Marcus Flint,12,False,
Gregory Goyle,Rowena Ravenclaw,12,False,
Molly Weasley,Neville Longbottom,12,True,6.0
Gregory Goyle,Helga Hufflepuff,12,False,
Arthur Weasley,Salazar Slytherin,12,False,
Arthur Weasley,Minerva McGonagall,12,True,6.0
Ginevra Weasley,Remus Lupin,12,True,5.0
Parvati Patil,Vincent Crabbe,12,False,
Dean Thomas,Tom Riddle,12,True,5.0
Neville Longbottom,Rowena Ravenclaw,12,True,5.0
Filius Flitwick,Ginevra Weasley,12,True,5.0
Dean Thomas,Lucius Malfoy,12,False,
Fang,Gregory Goyle,12,False,
Fang,Fred Weasley,12,False,
Father Christmas,Poppy Pomfrey,12,False,
Gregory Goyle,Peter Pettigrew,12,False,
Draco Malfoy,Fat Lady,12,False,
Minerva McGonagall,Petunia Dursley,12,True,5.0
Filius Flitwick,Lucius Malfoy,12,False,
Godric Gryffindor,Quirinus Quirrell,12,False,
Dean Thomas,Father Christmas,12,True,7.0
Buckbeak,Gilderoy Lockhart,12,False,
Charles Weasley,Gilderoy Lockhart,12,False,
Crookshanks,Draco Malfoy,12,False,
Cornelius Fudge,Ginevra Weasley,12,False,
Lee Jordan,Tom Riddle,12,False,
Charles Weasley,Lee Jordan,12,False,
Alicia Spinnet,Ronald Weasley,12,True,5.0
Lee Jordan,Sirius Black,12,False,
Lee Jordan,Severus Snape,12,True,5.0
Pomona Sprout,Salazar Slytherin,12,False,
Fred Weasley,Hedwig,12,True,4.0
Hermione Granger,Katie Bell,12,True,5.0
Hermione Granger,James Potter I,12,True,5.0
Helga Hufflepuff,Vincent Crabbe,12,False,
Buckbeak,Salazar Slytherin,12,False,
Fred Weasley,Quirinus Quirrell,12,True,5.0
Prime Minister,Remus Lupin,12,True,7.0
Fred Weasley,Sorting Hat,12,False,
Fred Weasley,Sybill Trelawney,12,True,5.0
Helga Hufflepuff,Neville Longbottom,12,False,
George Weasley,Justin Finch-Fletchley,12,False,
Prime Minister,Severus Snape,12,True,6.0
Fang,Salazar Slytherin,12,False,
George Weasley,Mrs Norris,12,False,
Fang,Vincent Crabbe,12,False,
Charles Weasley,Sirius Black,12,False,
George Weasley,Seamus Finnigan,12,False,
Remus Lupin,Rowena Ravenclaw,12,False,
Gilderoy Lockhart,Helga Hufflepuff,12,False,
Rolanda Hooch,Severus Snape,12,False,
Charles Weasley,Tom Riddle,12,False,
Cornelius Fudge,Father Christmas,12,True,4.0
Molly Weasley,Oliver Wood,12,False,
Peter Pettigrew,Seamus Finnigan,12,False,
Charles Weasley,Ginevra Weasley,12,True,4.0
Draco Malfoy,Sorting Hat,12,False,
Cornelius Fudge,Vincent Crabbe,12,False,
Draco Malfoy,Peeves,12,True,6.0
Cornelius Fudge,Gregory Goyle,12,False,
Cornelius Fudge,Oliver Wood,12,False,
Gilderoy Lockhart,Sybill Trelawney,12,False,
Peter Pettigrew,Vincent Crabbe,12,False,
Lucius Malfoy,Seamus Finnigan,12,False,
Cornelius Fudge,Sybill Trelawney,12,False,
Albus Dumbledore,Crookshanks,12,False,
Rowena Ravenclaw,Vincent Crabbe,12,False,
Crookshanks,Severus Snape,11,True,5.0
Filius Flitwick,Mrs Norris,11,False,
Gregory Goyle,Quirinus Quirrell,11,False,
Godric Gryffindor,Vernon Dursley,11,False,
Hedwig,Tom Riddle,11,True,4.0
Neville Longbottom,Rolanda Hooch,11,False,
Gilderoy Lockhart,Peeves,11,False,
Crookshanks,Sybill Trelawney,11,False,
Filius Flitwick,Molly Weasley,11,False,
Godric Gryffindor,Pomona Sprout,11,True,5.0
Cornelius Fudge,Seamus Finnigan,11,False,
Godric Gryffindor,Parvati Patil,11,True,4.0
Marcus Flint,Poppy Pomfrey,11,False,
Charles Weasley,Vincent Crabbe,11,False,
Dobby,Godric Gryffindor,11,True,7.0
Buckbeak,Father Christmas,11,False,
Argus Filch,Molly Weasley,11,False,
Cornelius Fudge,Vernon Dursley,11,True,5.0
Buckbeak,Cornelius Fudge,11,False,
George Weasley,Quirinus Quirrell,11,True,5.0
George Weasley,Sybill Trelawney,11,True,5.0
George Weasley,Sorting Hat,11,True,5.0
Hedwig,Minerva McGonagall,11,True,5.0
Buckbeak,Fred Weasley,11,False,
Crookshanks,Percy Weasley,11,True,4.0
Helga Hufflepuff,Tom Riddle,11,True,6.0
Ginevra Weasley,Peter Pettigrew,11,False,
Fred Weasley,Pomona Sprout,11,False,
Gregory Goyle,Rolanda Hooch,11,False,
Lucius Malfoy,Molly Weasley,11,True,6.0
Filius Flitwick,Helga Hufflepuff,11,False,
Gilderoy Lockhart,Rolanda Hooch,11,False,
Colin Creevey,Remus Lupin,11,True,7.0
Colin Creevey,Rowena Ravenclaw,11,False,
Charles Weasley,Marcus Flint,11,False,
Lucius Malfoy,Mrs Norris,11,False,
Gregory Goyle,Pomona Sprout,11,False,
Arthur Weasley,Godric Gryffindor,11,True,7.0
Minerva McGonagall,Prime Minister,11,True,5.0
Molly Weasley,Remus Lupin,11,True,5.0
Colin Creevey,Sirius Black,11,False,
Lee Jordan,Vincent Crabbe,11,False,
Lucian Bole,Marcus Flint,11,False,
Arthur Weasley,Severus Snape,11,True,5.0
Colin Creevey,Marcus Flint,11,False,
Colin Creevey,Lee Jordan,11,False,
Gregory Goyle,Lee Jordan,11,False,
Buckbeak,Tom Riddle,11,True,4.0
Gringotts Head Goblin,Minerva McGonagall,11,False,
Charles Weasley,Gregory Goyle,11,False,
James Potter I,Minerva McGonagall,11,False,
James Potter I,Percy Weasley,11,False,
Mrs Norris,Sirius Black,11,False,
Ginevra Weasley,Helga Hufflepuff,11,True,5.0
Gregory Goyle,Mrs Norris,11,False,
Charles Weasley,Father Christmas,11,False,
Justin Finch-Fletchley,Mrs Norris,11,False,
Mrs Norris,Poppy Pomfrey,11,False,
Justin Finch-Fletchley,Remus Lupin,11,False,
Mrs Norris,Oliver Wood,11,False,
Colin Creevey,Father Christmas,11,False,
Justin Finch-Fletchley,Vincent Crabbe,11,True,5.0
Colin Creevey,Filius Flitwick,11,False,
Godric Gryffindor,Hedwig,11,True,5.0
Rolanda Hooch,Vincent Crabbe,11,True,5.0
Pomona Sprout,Tom Riddle,11,True,7.0
Argus Filch,Charles Weasley,11,False,
Father Christmas,Justin Finch-Fletchley,11,False,
Poppy Pomfrey,Sybill Trelawney,11,False,
Fang,Minerva McGonagall,11,True,5.0
Fat Lady,Oliver Wood,11,False,
Rubeus Hagrid,Sorting Hat,11,True,4.0
Albus Dumbledore,Dudley Dursley,11,True,5.0
Rowena Ravenclaw,Sybill Trelawney,11,False,
Draco Malfoy,Pomona Sprout,11,False,
Dobby,Salazar Slytherin,11,False,
Draco Malfoy,Petunia Dursley,11,False,
Angelina Johnson,Hermione Granger,11,True,4.0
Percy Weasley,Pomona Sprout,11,False,
Fat Lady,Salazar Slytherin,11,False,
Fang,Remus Lupin,11,False,
Percy Weasley,Sorting Hat,11,False,
Peter Pettigrew,Quirinus Quirrell,11,False,
Draco Malfoy,Hedwig,11,False,
Remus Lupin,Vernon Dursley,11,False,
Rolanda Hooch,Tom Riddle,11,False,
Draco Malfoy,Katie Bell,11,True,5.0
Poppy Pomfrey,Seamus Finnigan,11,False,
Pomona Sprout,Poppy Pomfrey,11,True,4.0
Rolanda Hooch,Sirius Black,11,False,
Argus Filch,Gringotts Head Goblin,11,False,
Alicia Spinnet,Helga Hufflepuff,11,False,
Argus Filch,Helga Hufflepuff,11,False,
Fat Lady,Filius Flitwick,10,False,
Cedric Diggory,Godric Gryffindor,10,True,4.0
Cornelius Fudge,Marcus Flint,10,False,
Dobby,Severus Snape,10,True,4.0
Argus Filch,Petunia Dursley,10,False,
Draco Malfoy,Prime Minister,10,True,5.0
Hedwig,Salazar Slytherin,10,False,
Rowena Ravenclaw,Seamus Finnigan,10,False,
Argus Filch,Rolanda Hooch,10,False,
Lily J. Potter,Rubeus Hagrid,10,True,7.0
Pomona Sprout,Vincent Crabbe,10,False,
Lily J. Potter,Ronald Weasley,10,True,7.0
Molly Weasley,Rowena Ravenclaw,10,False,
Father Christmas,Parvati Patil,10,False,
George Weasley,Pomona Sprout,10,False,
Helga Hufflepuff,Katie Bell,10,False,
Peeves,Peter Pettigrew,10,False,
Gregory Goyle,Vernon Dursley,10,False,
Fluffy,Minerva McGonagall,10,False,
Dudley Dursley,George Weasley,10,True,4.0
Gregory Goyle,Sorting Hat,10,False,
Dobby,Poppy Pomfrey,10,False,
Fat Lady,Fred Weasley,10,False,
Pomona Sprout,Quirinus Quirrell,10,False,
Albus Dumbledore,Alicia Spinnet,10,False,
Pomona Sprout,Remus Lupin,10,False,
Draco Malfoy,Peregrine Derrick,10,False,
Fang,Poppy Pomfrey,10,False,
Fat Lady,Gilderoy Lockhart,10,False,
Lucius Malfoy,Peter Pettigrew,10,False,
Buckbeak,Filius Flitwick,10,False,
Fang,Sirius Black,10,True,4.0
Filius Flitwick,Sorting Hat,10,False,
Crookshanks,Minerva McGonagall,10,False,
Draco Malfoy,Lavender Brown,10,True,6.0
Buckbeak,George Weasley,10,False,
Argus Filch,Lee Jordan,10,False,
Father Christmas,Molly Weasley,10,True,4.0
Buckbeak,Dean Thomas,10,False,
Angelina Johnson,Rowena Ravenclaw,10,False,
Peter Pettigrew,Prime Minister,10,False,
Fred Weasley,Gringotts Head Goblin,10,False,
Charles Weasley,Rowena Ravenclaw,10,False,
James Potter I,Neville Longbottom,10,False,
Quirinus Quirrell,Vincent Crabbe,10,False,
Hedwig,Neville Longbottom,10,True,5.0
Fat Lady,Seamus Finnigan,10,True,4.0
Gilderoy Lockhart,Parvati Patil,10,False,
Buckbeak,Oliver Wood,10,False,
Hedwig,Oliver Wood,10,False,
Fat Lady,Tom Riddle,10,True,5.0
Peter Pettigrew,Vernon Dursley,10,False,
Dobby,Vincent Crabbe,10,False,
Charles Weasley,Neville Longbottom,10,False,
Dudley Dursley,Tom Riddle,10,True,4.0
Arthur Weasley,Dobby,10,True,5.0
Colin Creevey,Vernon Dursley,10,False,
Cedric Diggory,Salazar Slytherin,10,True,4.0
Sorting Hat,Vincent Crabbe,10,False,
Gregory Goyle,Justin Finch-Fletchley,10,True,5.0
Argus Filch,Sorting Hat,10,False,
Poppy Pomfrey,Vernon Dursley,10,False,
Katie Bell,Minerva McGonagall,10,True,6.0
Alicia Spinnet,Percy Weasley,10,False,
Mrs Norris,Tom Riddle,10,False,
Helga Hufflepuff,Remus Lupin,10,True,7.0
Dean Thomas,Peter Pettigrew,10,False,
Father Christmas,Vernon Dursley,10,False,
Fred Weasley,Peeves,10,True,5.0
Alicia Spinnet,Peregrine Derrick,10,False,
Colin Creevey,Molly Weasley,10,False,
Colin Creevey,Lucius Malfoy,10,False,
Sirius Black,Sorting Hat,10,False,
Ginevra Weasley,Justin Finch-Fletchley,10,False,
Helga Hufflepuff,Rolanda Hooch,10,False,
Katie Bell,Ronald Weasley,10,True,5.0
Pomona Sprout,Seamus Finnigan,10,True,4.0
Fang,George Weasley,10,False,
Mrs Norris,Seamus Finnigan,10,False,
Oliver Wood,Quirinus Quirrell,10,False,
Fang,Godric Gryffindor,10,False,
Poppy Pomfrey,Rowena Ravenclaw,10,True,4.0
Hermione Granger,Lucian Bole,10,True,5.0
Lee Jordan,Neville Longbottom,10,False,
Justin Finch-Fletchley,Tom Riddle,10,False,
Colin Creevey,Helga Hufflepuff,10,False,
Fang,Filius Flitwick,10,False,
Ginevra Weasley,Seamus Finnigan,10,True,6.0
Godric Gryffindor,Petunia Dursley,10,False,
Parvati Patil,Peter Pettigrew,10,False,
Ginevra Weasley,Petunia Dursley,10,False,
Gregory Goyle,Peeves,10,False,
Parvati Patil,Percy Weasley,10,False,
Justin Finch-Fletchley,Seamus Finnigan,10,False,
Katie Bell,Lucian Bole,10,False,
Pomona Sprout,Sirius Black,10,False,
Ginevra Weasley,Rolanda Hooch,10,True,5.0
Mrs Norris,Remus Lupin,10,False,
Dobby,Molly Weasley,10,False,
Charles Weasley,Colin Creevey,10,False,
Peter Pettigrew,Sorting Hat,9,False,
Angelina Johnson,Minerva McGonagall,9,True,5.0
Lucius Malfoy,Vernon Dursley,9,False,
Cornelius Fudge,Quirinus Quirrell,9,False,
Quirinus Quirrell,Sybill Trelawney,9,False,
Cornelius Fudge,Rowena Ravenclaw,9,False,
Alicia Spinnet,Gregory Goyle,9,False,
Marcus Flint,Molly Weasley,9,False,
Marcus Flint,Mrs Norris,9,False,
Marcus Flint,Sybill Trelawney,9,False,
Hermione Granger,Lily J. Potter,9,True,7.0
James Potter I,Poppy Pomfrey,9,False,
Remus Lupin,Sorting Hat,9,False,
Poppy Pomfrey,Sorting Hat,9,False,
Angelina Johnson,Ronald Weasley,9,True,4.0
Gilderoy Lockhart,Gringotts Head Goblin,9,False,
Justin Finch-Fletchley,Marcus Flint,9,False,
Marcus Flint,Peregrine Derrick,9,False,
Hedwig,Molly Weasley,9,True,4.0
Fluffy,Percy Weasley,9,False,
Marcus Flint,Parvati Patil,9,False,
Katie Bell,Peregrine Derrick,9,False,
Peter Pettigrew,Rowena Ravenclaw,9,False,
Draco Malfoy,Nicolas Flamel,9,False,
Fred Weasley,Prime Minister,9,False,
Colin Creevey,Rolanda Hooch,9,False,
Helga Hufflepuff,Seamus Finnigan,9,True,4.0
Prime Minister,Sybill Trelawney,9,True,5.0
Lavender Brown,Rubeus Hagrid,9,True,4.0
Lily J. Potter,Minerva McGonagall,9,True,7.0
Colin Creevey,Peeves,9,False,
Prime Minister,Salazar Slytherin,9,False,
Lavender Brown,Severus Snape,9,False,
George Weasley,Gringotts Head Goblin,9,False,
Lavender Brown,Sirius Black,9,False,
Alicia Spinnet,Severus Snape,9,True,5.0
Helga Hufflepuff,Poppy Pomfrey,9,True,6.0
Alicia Spinnet,Rubeus Hagrid,9,False,
Crookshanks,Gregory Goyle,9,False,
Fat Lady,Gregory Goyle,9,False,
Lee Jordan,Lucius Malfoy,9,False,
Dudley Dursley,Gilderoy Lockhart,9,False,
Fat Lady,George Weasley,9,False,
Dobby,Gregory Goyle,9,False,
Fred Weasley,Parvati Patil,9,True,4.0
Lee Jordan,Poppy Pomfrey,9,False,
Dudley Dursley,Percy Weasley,9,False,
Lily J. Potter,Percy Weasley,9,False,
Cornelius Fudge,Dobby,9,False,
Lucius Malfoy,Rolanda Hooch,9,True,5.0
Cornelius Fudge,Fat Lady,9,True,5.0
Cornelius Fudge,Pomona Sprout,9,False,
Cornelius Fudge,Petunia Dursley,9,False,
Fluffy,Gilderoy Lockhart,9,False,
Hedwig,Peter Pettigrew,9,False,
Alicia Spinnet,Father Christmas,9,False,
George Weasley,Peeves,9,True,5.0
Poppy Pomfrey,Quirinus Quirrell,9,False,
Cornelius Fudge,Justin Finch-Fletchley,9,False,
Petunia Dursley,Remus Lupin,9,True,7.0
Hedwig,Remus Lupin,9,True,5.0
Lavender Brown,Minerva McGonagall,9,True,4.0
Fat Lady,Quirinus Quirrell,9,False,
Petunia Dursley,Salazar Slytherin,9,False,
Draco Malfoy,William Weasley,9,True,4.0
Lucian Bole,Rowena Ravenclaw,9,False,
Lucian Bole,Ronald Weasley,9,False,
Alicia Spinnet,Vincent Crabbe,9,True,5.0
Lucian Bole,Minerva McGonagall,9,False,
Fat Lady,Poppy Pomfrey,9,False,
Justin Finch-Fletchley,Sorting Hat,9,False,
Buckbeak,Marcus Flint,9,False,
Charles Weasley,Vernon Dursley,9,False,
Fang,Percy Weasley,9,False,
Mrs Norris,Sorting Hat,9,False,
Gregory Goyle,Molly Weasley,9,True,4.0
Mrs Norris,Quirinus Quirrell,9,False,
Fawkes,Godric Gryffindor,9,False,
Mrs Norris,Pomona Sprout,9,False,
Fawkes,Hermione Granger,9,False,
Arthur Weasley,Colin Creevey,9,False,
Arthur Weasley,Cornelius Fudge,9,True,4.0
Dean Thomas,Justin Finch-Fletchley,9,False,
Cadogan,Minerva McGonagall,9,False,
Parvati Patil,Quirinus Quirrell,9,False,
Seamus Finnigan,Sorting Hat,9,False,
Fang,Peter Pettigrew,9,False,
Gringotts Head Goblin,Oliver Wood,9,False,
Molly Weasley,Vincent Crabbe,9,True,4.0
Cadogan,Hermione Granger,9,False,
Parvati Patil,Tom Riddle,9,False,
Molly Weasley,Sybill Trelawney,9,True,4.0
Gringotts Head Goblin,Vincent Crabbe,9,False,
Charles Weasley,Filius Flitwick,9,False,
Peeves,Poppy Pomfrey,9,False,
Charles Weasley,Helga Hufflepuff,9,False,
Arthur Weasley,Neville Longbottom,9,True,6.0
Albus Dumbledore,Errol,9,False,
Molly Weasley,Petunia Dursley,9,False,
Arthur Weasley,Petunia Dursley,9,False,
Dean Thomas,Mrs Norris,9,False,
Cadogan,Severus Snape,9,False,
Dobby,Oliver Wood,9,False,
Cedric Diggory,Rolanda Hooch,9,False,
Godric Gryffindor,Gringotts Head Goblin,9,False,
Argus Filch,Hedwig,9,False,
Ginevra Weasley,Sybill Trelawney,9,True,5.0
Argus Filch,Parvati Patil,9,False,
Errol,Sirius Black,9,False,
Cedric Diggory,Lee Jordan,9,False,
Argus Filch,Prime Minister,9,False,
Dobby,Father Christmas,9,True,4.0
Argus Filch,Fluffy,9,False,
Vernon Dursley,Vincent Crabbe,9,False,
Cedric Diggory,Marcus Flint,9,False,
Argus Filch,Vernon Dursley,9,False,
Errol,Rubeus Hagrid,9,False,
Argus Filch,Dobby,9,True,5.0
Godric Gryffindor,Prime Minister,9,False,
Father Christmas,Quirinus Quirrell,9,False,
Oliver Wood,Pomona Sprout,9,False,
Neville Longbottom,Vernon Dursley,9,False,
Oliver Wood,Sorting Hat,9,False,
Argus Filch,Arthur Weasley,9,False,
Oliver Wood,Vernon Dursley,9,False,
Fang,Ginevra Weasley,9,False,
Father Christmas,Sorting Hat,9,False,
Ginevra Weasley,Quirinus Quirrell,9,False,
Dean Thomas,Poppy Pomfrey,9,False,
Arthur Weasley,Poppy Pomfrey,9,False,
Molly Weasley,Seamus Finnigan,9,False,
Gringotts Head Goblin,Percy Weasley,9,False,
Albus Dumbledore,Lavender Brown,9,False,
Buckbeak,Seamus Finnigan,9,False,
Gilderoy Lockhart,Prime Minister,9,False,
Fat Lady,Vincent Crabbe,9,False,
Charles Weasley,Peter Pettigrew,9,False,
Gringotts Head Goblin,Remus Lupin,9,False,
Minerva McGonagall,Myrtle Warren,9,False,
Draco Malfoy,Fluffy,9,False,
Fat Lady,Sybill Trelawney,9,False,
Charles Weasley,Poppy Pomfrey,9,False,
Buckbeak,Molly Weasley,9,False,
